"id","long","lat","order","hole","piece","group","N"
"319",155.586722540842,2074.64565128851,5,FALSE,"1","319.1",0
"319",101.858225949665,2105.66581325858,6,FALSE,"1","319.1",0
"319",101.858225949665,2167.70613719872,7,FALSE,"1","319.1",0
"32",477.957702087905,399.556904904731,1,FALSE,"1","32.1",0
"32",531.686198679082,430.577066874801,2,FALSE,"1","32.1",0
"32",585.414695270259,399.556904904731,3,FALSE,"1","32.1",0
"32",585.414695270259,337.516580964591,4,FALSE,"1","32.1",0
"32",531.686198679082,306.496418994521,5,FALSE,"1","32.1",0
"32",477.957702087905,337.516580964591,6,FALSE,"1","32.1",0
"32",477.957702087905,399.556904904731,7,FALSE,"1","32.1",0
"320",209.315219132019,2167.70613719872,1,FALSE,"1","320.1",0
"320",263.043715723196,2198.72629916879,2,FALSE,"1","320.1",0
"320",316.772212314373,2167.70613719872,3,FALSE,"1","320.1",0
"320",316.772212314373,2105.66581325858,4,FALSE,"1","320.1",0
"320",263.043715723196,2074.64565128851,5,FALSE,"1","320.1",0
"320",209.315219132019,2105.66581325858,6,FALSE,"1","320.1",0
"320",209.315219132019,2167.70613719872,7,FALSE,"1","320.1",0
"321",316.772212314373,2167.70613719872,1,FALSE,"1","321.1",0
"321",370.50070890555,2198.72629916879,2,FALSE,"1","321.1",0
"321",424.229205496727,2167.70613719872,3,FALSE,"1","321.1",0
"321",424.229205496727,2105.66581325858,4,FALSE,"1","321.1",0
"321",370.50070890555,2074.64565128851,5,FALSE,"1","321.1",0
"321",316.772212314373,2105.66581325858,6,FALSE,"1","321.1",0
"321",316.772212314373,2167.70613719872,7,FALSE,"1","321.1",0
"322",424.229205496727,2167.70613719872,1,FALSE,"1","322.1",0
"322",477.957702087904,2198.72629916879,2,FALSE,"1","322.1",0
"322",531.686198679081,2167.70613719872,3,FALSE,"1","322.1",0
"322",531.686198679081,2105.66581325858,4,FALSE,"1","322.1",0
"322",477.957702087904,2074.64565128851,5,FALSE,"1","322.1",0
"322",424.229205496727,2105.66581325858,6,FALSE,"1","322.1",0
"322",424.229205496727,2167.70613719872,7,FALSE,"1","322.1",0
"323",531.686198679082,2167.70613719872,1,FALSE,"1","323.1",0
"323",585.414695270259,2198.72629916879,2,FALSE,"1","323.1",0
"323",639.143191861436,2167.70613719872,3,FALSE,"1","323.1",0
"323",639.143191861436,2105.66581325858,4,FALSE,"1","323.1",0
"323",585.414695270259,2074.64565128851,5,FALSE,"1","323.1",0
"323",531.686198679082,2105.66581325858,6,FALSE,"1","323.1",0
"323",531.686198679082,2167.70613719872,7,FALSE,"1","323.1",0
"324",639.143191861436,2167.70613719872,1,FALSE,"1","324.1",0
"324",692.871688452613,2198.72629916879,2,FALSE,"1","324.1",0
"324",746.60018504379,2167.70613719872,3,FALSE,"1","324.1",0
"324",746.60018504379,2105.66581325858,4,FALSE,"1","324.1",0
"324",692.871688452613,2074.64565128851,5,FALSE,"1","324.1",0
"324",639.143191861436,2105.66581325858,6,FALSE,"1","324.1",0
"324",639.143191861436,2167.70613719872,7,FALSE,"1","324.1",0
"325",746.60018504379,2167.70613719872,1,FALSE,"1","325.1",0
"325",800.328681634967,2198.72629916879,2,FALSE,"1","325.1",0
"325",854.057178226144,2167.70613719872,3,FALSE,"1","325.1",0
"325",854.057178226144,2105.66581325858,4,FALSE,"1","325.1",0
"325",800.328681634967,2074.64565128851,5,FALSE,"1","325.1",0
"325",746.60018504379,2105.66581325858,6,FALSE,"1","325.1",0
"325",746.60018504379,2167.70613719872,7,FALSE,"1","325.1",0
"326",854.057178226144,2167.70613719872,1,FALSE,"1","326.1",0
"326",907.785674817321,2198.72629916879,2,FALSE,"1","326.1",0
"326",961.514171408498,2167.70613719872,3,FALSE,"1","326.1",0
"326",961.514171408498,2105.66581325858,4,FALSE,"1","326.1",0
"326",907.785674817321,2074.64565128851,5,FALSE,"1","326.1",0
"326",854.057178226144,2105.66581325858,6,FALSE,"1","326.1",0
"326",854.057178226144,2167.70613719872,7,FALSE,"1","326.1",0
"327",961.514171408499,2167.70613719872,1,FALSE,"1","327.1",0
"327",1015.24266799968,2198.72629916879,2,FALSE,"1","327.1",0
"327",1068.97116459085,2167.70613719872,3,FALSE,"1","327.1",0
"327",1068.97116459085,2105.66581325858,4,FALSE,"1","327.1",0
"327",1015.24266799968,2074.64565128851,5,FALSE,"1","327.1",0
"327",961.514171408499,2105.66581325858,6,FALSE,"1","327.1",0
"327",961.514171408499,2167.70613719872,7,FALSE,"1","327.1",0
"328",1068.97116459085,2167.70613719872,1,FALSE,"1","328.1",0
"328",1122.69966118203,2198.72629916879,2,FALSE,"1","328.1",0
"328",1176.42815777321,2167.70613719872,3,FALSE,"1","328.1",0
"328",1176.42815777321,2105.66581325858,4,FALSE,"1","328.1",0
"328",1122.69966118203,2074.64565128851,5,FALSE,"1","328.1",0
"328",1068.97116459085,2105.66581325858,6,FALSE,"1","328.1",0
"328",1068.97116459085,2167.70613719872,7,FALSE,"1","328.1",0
"329",1176.42815777321,2167.70613719872,1,FALSE,"1","329.1",0
"329",1230.15665436438,2198.72629916879,2,FALSE,"1","329.1",0
"329",1283.88515095556,2167.70613719872,3,FALSE,"1","329.1",0
"329",1283.88515095556,2105.66581325858,4,FALSE,"1","329.1",0
"329",1230.15665436438,2074.64565128851,5,FALSE,"1","329.1",0
"329",1176.42815777321,2105.66581325858,6,FALSE,"1","329.1",0
"329",1176.42815777321,2167.70613719872,7,FALSE,"1","329.1",0
"33",585.414695270259,399.556904904731,1,FALSE,"1","33.1",0
"33",639.143191861436,430.577066874801,2,FALSE,"1","33.1",0
"33",692.871688452613,399.556904904731,3,FALSE,"1","33.1",0
"33",692.871688452613,337.516580964591,4,FALSE,"1","33.1",0
"33",639.143191861436,306.496418994521,5,FALSE,"1","33.1",0
"33",585.414695270259,337.516580964591,6,FALSE,"1","33.1",0
"33",585.414695270259,399.556904904731,7,FALSE,"1","33.1",0
"330",1283.88515095556,2167.70613719872,1,FALSE,"1","330.1",0
"330",1337.61364754674,2198.72629916879,2,FALSE,"1","330.1",0
"330",1391.34214413792,2167.70613719872,3,FALSE,"1","330.1",0
"330",1391.34214413792,2105.66581325858,4,FALSE,"1","330.1",0
"330",1337.61364754674,2074.64565128851,5,FALSE,"1","330.1",0
"330",1283.88515095556,2105.66581325858,6,FALSE,"1","330.1",0
"330",1283.88515095556,2167.70613719872,7,FALSE,"1","330.1",0
"331",1391.34214413792,2167.70613719872,1,FALSE,"1","331.1",0
"331",1445.07064072909,2198.72629916879,2,FALSE,"1","331.1",0
"331",1498.79913732027,2167.70613719872,3,FALSE,"1","331.1",0
"331",1498.79913732027,2105.66581325858,4,FALSE,"1","331.1",0
"331",1445.07064072909,2074.64565128851,5,FALSE,"1","331.1",0
"331",1391.34214413792,2105.66581325858,6,FALSE,"1","331.1",0
